Commune	PTOT	REG	DEP	Région	latitude	longitude	code_insee	Type équipement ou lieu	count	categorie
Magnieu	667.0	84.0	01	Auvergne-Rhône-Alpes			01227	Monument	1	patrimoine
Maillat	693.0	84.0	01	Auvergne-Rhône-Alpes			01228	Monument	1	patrimoine
Malafretaz	1234.0	84.0	01	Auvergne-Rhône-Alpes			01229	Bibliothèque	1	vivant
Manziat	2005.0	84.0	01	Auvergne-Rhône-Alpes			01231	Bibliothèque	1	vivant
Marboz	2310.0	84.0	01	Auvergne-Rhône-Alpes			01232	Bibliothèque	1	vivant
Marchamp	137.0	84.0	01	Auvergne-Rhône-Alpes			01233	Bibliothèque	1	vivant
Marlieux	1267.0	84.0	01	Auvergne-Rhône-Alpes			01235	Bibliothèque	1	vivant
Marsonnas	1059.0	84.0	01	Auvergne-Rhône-Alpes			01236	Bibliothèque	1	vivant
Massieux	2781.0	84.0	01	Auvergne-Rhône-Alpes			01238	Bibliothèque	1	vivant
Matafelon-Granges	646.0	84.0	01	Auvergne-Rhône-Alpes			01240	Monument	1	patrimoine
Meillonnas	1418.0	84.0	01	Auvergne-Rhône-Alpes			01241	Bibliothèque	1	vivant
Meillonnas	1418.0	84.0	01	Auvergne-Rhône-Alpes			01241	Cinéma	1	vivant
Meillonnas	1418.0	84.0	01	Auvergne-Rhône-Alpes			01241	Monument	2	patrimoine
Mérignat	138.0	84.0	01	Auvergne-Rhône-Alpes			01242	Espace protégé	1	patrimoine
Messimy-sur-Saône	1326.0	84.0	01	Auvergne-Rhône-Alpes			01243	Bibliothèque	1	vivant
Messimy-sur-Saône	1326.0	84.0	01	Auvergne-Rhône-Alpes			01243	Monument	1	patrimoine
Meximieux	8227.0	84.0	01	Auvergne-Rhône-Alpes			01244	Bibliothèque	1	vivant
Meximieux	8227.0	84.0	01	Auvergne-Rhône-Alpes			01244	Cinéma	1	vivant
Bohas-Meyriat-Rignat	986.0	84.0	01	Auvergne-Rhône-Alpes			01245	Bibliothèque	1	vivant
Mézériat	2231.0	84.0	01	Auvergne-Rhône-Alpes			01246	Bibliothèque	1	vivant
Mijoux	310.0	84.0	01	Auvergne-Rhône-Alpes			01247	Bibliothèque	1	vivant
Mijoux	310.0	84.0	01	Auvergne-Rhône-Alpes			01247	Cinéma	1	vivant
Mijoux	310.0	84.0	01	Auvergne-Rhône-Alpes			01247	Monument	1	patrimoine
Mionnay	2279.0	84.0	01	Auvergne-Rhône-Alpes			01248	Bibliothèque	1	vivant
Miribel	10375.0	84.0	01	Auvergne-Rhône-Alpes			01249	Bibliothèque	2	vivant
Miribel	10375.0	84.0	01	Auvergne-Rhône-Alpes			01249	Cinéma	1	vivant
Miribel	10375.0	84.0	01	Auvergne-Rhône-Alpes			01249	Espace protégé	1	patrimoine
Miribel	10375.0	84.0	01	Auvergne-Rhône-Alpes			01249	Monument	3	patrimoine
Misérieux	2265.0	84.0	01	Auvergne-Rhône-Alpes			01250	Bibliothèque	1	vivant
Mogneneins	826.0	84.0	01	Auvergne-Rhône-Alpes			01252	Bibliothèque	1	vivant
Mogneneins	826.0	84.0	01	Auvergne-Rhône-Alpes			01252	Monument	1	patrimoine
Montagnat	2194.0	84.0	01	Auvergne-Rhône-Alpes			01254	Bibliothèque	1	vivant
Montagnat	2194.0	84.0	01	Auvergne-Rhône-Alpes			01254	Monument	1	patrimoine
Montceaux	1221.0	84.0	01	Auvergne-Rhône-Alpes			01258	Monument	1	patrimoine
Le Montellier	324.0	84.0	01	Auvergne-Rhône-Alpes			01260	Bibliothèque	1	vivant
Le Montellier	324.0	84.0	01	Auvergne-Rhône-Alpes			01260	Monument	1	patrimoine
Monthieux	706.0	84.0	01	Auvergne-Rhône-Alpes			01261	Bibliothèque	1	vivant
Monthieux	706.0	84.0	01	Auvergne-Rhône-Alpes			01261	Monument	1	patrimoine
Montluel	6918.0	84.0	01	Auvergne-Rhône-Alpes			01262	Bibliothèque	1	vivant
Montluel	6918.0	84.0	01	Auvergne-Rhône-Alpes			01262	Cinéma	1	vivant
Montluel	6918.0	84.0	01	Auvergne-Rhône-Alpes			01262	Espace protégé	1	patrimoine
Montluel	6918.0	84.0	01	Auvergne-Rhône-Alpes			01262	Monument	6	patrimoine
Montmerle-sur-Saône	3882.0	84.0	01	Auvergne-Rhône-Alpes			01263	Bibliothèque	1	vivant
Montracol	1026.0	84.0	01	Auvergne-Rhône-Alpes			01264	Bibliothèque	1	vivant
Montracol	1026.0	84.0	01	Auvergne-Rhône-Alpes			01264	Monument	1	patrimoine
Montréal-la-Cluse	3628.0	84.0	01	Auvergne-Rhône-Alpes			01265	Bibliothèque	1	vivant
