latitude	longitude	code_insee	Type équipement ou lieu	count	categorie
43.2981044185	5.64391464048	13042	Cinéma	1	vivant
43.2981044185	5.64391464048	13042	Monument	4	patrimoine
43.3905074118	5.22834752895	13043	Bibliothèque	1	vivant
43.6142225937	5.04474558898	13044	Bibliothèque	1	vivant
43.6142225937	5.04474558898	13044	Cinéma	1	vivant
43.6142225937	5.04474558898	13044	Lieu de mémoire	1	patrimoine
43.6142225937	5.04474558898	13044	Monument	1	patrimoine
43.8539111696	4.76717369182	13045	Bibliothèque	1	vivant
43.8539111696	4.76717369182	13045	Monument	1	patrimoine
43.4262029745	5.54685109195	13046	Bibliothèque	1	vivant
43.4262029745	5.54685109195	13046	Monument	1	patrimoine
43.5502689105	4.9511813524	13047	Bibliothèque	3	vivant
43.5502689105	4.9511813524	13047	Cinéma	1	vivant
43.5502689105	4.9511813524	13047	Conservatoire	1	vivant
43.5502689105	4.9511813524	13047	Lieu archéologique	1	patrimoine
43.5502689105	4.9511813524	13047	Monument	9	patrimoine
43.5502689105	4.9511813524	13047	Musée	1	vivant
43.5502689105	4.9511813524	13047	Scène	1	vivant
43.5502689105	4.9511813524	13047	Service d'archives	2	patrimoine
43.5502689105	4.9511813524	13047	Théâtre	1	vivant
43.6334137827	5.65675796328	13048	Bibliothèque	1	vivant
43.6334137827	5.65675796328	13048	Espace protégé	1	patrimoine
43.6334137827	5.65675796328	13048	Monument	9	patrimoine
43.704757813	5.0886270398	13049	Bibliothèque	1	vivant
43.6615217681	5.25191446931	13050	Bibliothèque	1	vivant
